	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
SNORD12B	0.49169984524949	2.45577662404179	2.64918147417241	0.926994487914031	0.353929396194547	0.999658563836992	SNORD12B
SNORD111B	0	NA	NA	NA	NA	NA	SNORD111B
LIN28B-AS1	0.0898467927824392	-0.391502943884337	3.44865606662119	-0.11352333672053	0.909615662646079	0.999658563836992	LIN28B-AS1
TMEM170B	1.38936234030292	-0.0681746659940372	1.23629603013519	-0.0551442893386808	0.956023512012067	0.999658563836992	TMEM170B
FAM138E	0	NA	NA	NA	NA	NA	FAM138E
SNORD58C	3.46356233245879	0.48742251783884	0.783058425842737	0.622459961802045	0.533639463060428	0.999658563836992	SNORD58C
SCARNA27	0.190651651569901	-0.803695153832917	3.44865606662119	-0.233045899129145	0.815725764473039	0.999658563836992	SCARNA27
SNORA84	0	NA	NA	NA	NA	NA	SNORA84
SNORA38B	0	NA	NA	NA	NA	NA	SNORA38B
SNORA70B	0	NA	NA	NA	NA	NA	SNORA70B
HOTAIR	0.210979208357536	-0.803695153832917	3.44865606662119	-0.233045899129145	0.815725764473039	0.999658563836992	HOTAIR
ZGLP1	0	NA	NA	NA	NA	NA	ZGLP1
FAM86JP	0.691374150565271	-0.0506393372160102	1.92727917851292	-0.0262750398492258	0.979037963351412	0.999658563836992	FAM86JP
FMR1-AS1	0	NA	NA	NA	NA	NA	FMR1-AS1
MIR298	0	NA	NA	NA	NA	NA	MIR298
VTRNA2-1	0.393569800457604	2.01933780445431	3.34888673359683	0.60298778820909	0.546516813106976	0.999658563836992	VTRNA2-1
MIR892B	0	NA	NA	NA	NA	NA	MIR892B
MIR541	0	NA	NA	NA	NA	NA	MIR541
MIR744	0	NA	NA	NA	NA	NA	MIR744
MIR940	0.701625806659372	0.776454330656028	2.24869758831454	0.34529068501292	0.729875848830887	0.999658563836992	MIR940
MIR941-1	0	NA	NA	NA	NA	NA	MIR941-1
MIR942	0	NA	NA	NA	NA	NA	MIR942
MIR892A	0	NA	NA	NA	NA	NA	MIR892A
MIR760	0.101587229938976	-0.391502943884337	3.44865606662119	-0.11352333672053	0.909615662646079	0.999658563836992	MIR760
MIR933	0	NA	NA	NA	NA	NA	MIR933
MIR939	0	NA	NA	NA	NA	NA	MIR939
MIR365A	0	NA	NA	NA	NA	NA	MIR365A
MIR365B	0	NA	NA	NA	NA	NA	MIR365B
SNAR-G1	0	NA	NA	NA	NA	NA	SNAR-G1
SNAR-F	0	NA	NA	NA	NA	NA	SNAR-F
LOC100126784	0.692215674844384	-1.22623732028238	2.27707186020217	-0.538514985720963	0.590221562100743	0.999658563836992	LOC100126784
EGOT	0	NA	NA	NA	NA	NA	EGOT
GHRLOS	0	NA	NA	NA	NA	NA	GHRLOS
SLCO4A1-AS1	4.02449371481616	0.342363709077602	1.19788972607764	0.285805697823817	0.775026943855148	0.999658563836992	SLCO4A1-AS1
CC2D2B	0	NA	NA	NA	NA	NA	CC2D2B
C8orf88	1.49702824840158	-0.212120606416221	1.18229500685632	-0.179414279165605	0.857612420148157	0.999658563836992	C8orf88
DPPA2P3	0	NA	NA	NA	NA	NA	DPPA2P3
WWTR1-AS1	0	NA	NA	NA	NA	NA	WWTR1-AS1
PLCE1-AS1	0	NA	NA	NA	NA	NA	PLCE1-AS1
FAM229A	1.29617869410947	1.4609956781534	1.30050113584703	1.123409767114	0.261263503546171	0.999658563836992	FAM229A
LOC100128076	0	NA	NA	NA	NA	NA	LOC100128076
JAZF1-AS1	0	NA	NA	NA	NA	NA	JAZF1-AS1
ST8SIA6-AS1	0	NA	NA	NA	NA	NA	ST8SIA6-AS1
HGC6.3	0	NA	NA	NA	NA	NA	HGC6.3
STAU2-AS1	0	NA	NA	NA	NA	NA	STAU2-AS1
LOC100128164	0	NA	NA	NA	NA	NA	LOC100128164
UST-AS1	0	NA	NA	NA	NA	NA	UST-AS1
TMPO-AS1	0.393766958320254	-0.254101419545985	2.38127116580464	-0.106708309072446	0.915020390561978	0.999658563836992	TMPO-AS1
LINC02731	0	NA	NA	NA	NA	NA	LINC02731
ZNF667-AS1	6.75772984324947	-1.3103526725462	0.903919736470306	-1.44963387751988	0.147160643651987	0.999658563836992	ZNF667-AS1
HTR5A-AS1	0	NA	NA	NA	NA	NA	HTR5A-AS1
DNM1P35	0	NA	NA	NA	NA	NA	DNM1P35
LOC100128288	0.092027934357912	-0.391502943884337	3.44865606662119	-0.11352333672053	0.909615662646079	0.999658563836992	LOC100128288
DLG5-AS1	0	NA	NA	NA	NA	NA	DLG5-AS1
TRAPPC3L	0	NA	NA	NA	NA	NA	TRAPPC3L
FAM83H-AS1	0.475519861520646	-1.88501559150251	2.93042918639462	-0.64325580712008	0.520058126801419	0.999658563836992	FAM83H-AS1
LOC100128361	0	NA	NA	NA	NA	NA	LOC100128361
LINC00696	0	NA	NA	NA	NA	NA	LINC00696
FAM225B	0	NA	NA	NA	NA	NA	FAM225B
LOC100128398	0.0983153610818717	0.982474520973914	3.44865606662119	0.284886199723735	0.775731329105818	0.999658563836992	LOC100128398
LINC00892	0.420478045821136	-0.254101750122101	2.94188341828114	-0.0863738340353967	0.931169246595211	0.999658563836992	LINC00892
ASTN2-AS1	0	NA	NA	NA	NA	NA	ASTN2-AS1
NEBL-AS1	0	NA	NA	NA	NA	NA	NEBL-AS1
KIAA1671-AS1	0.0898467927824392	-0.391502943884337	3.44865606662119	-0.11352333672053	0.909615662646079	0.999658563836992	KIAA1671-AS1
CTAGE4	0	NA	NA	NA	NA	NA	CTAGE4
LINC02347	0	NA	NA	NA	NA	NA	LINC02347
LOC100128568	0	NA	NA	NA	NA	NA	LOC100128568
C19orf71	24.5236828011005	-0.441691766293189	0.709468527801846	-0.622567103380452	0.533569034545661	0.999658563836992	C19orf71
100128573	0	NA	NA	NA	NA	NA	100128573
SLC8A1-AS1	0.103467811004938	-0.391502943884337	3.44865606662119	-0.11352333672053	0.909615662646079	0.999658563836992	SLC8A1-AS1
LOC100128593	0	NA	NA	NA	NA	NA	LOC100128593
CDC42P3	0	NA	NA	NA	NA	NA	CDC42P3
ACVR2B-AS1	0.203224348626599	0.570282311025334	3.44865606662119	0.16536363731512	0.868657772828279	0.999658563836992	ACVR2B-AS1
HPN-AS1	3.81621557085244	-0.106098161414139	1.94327401578949	-0.0545976329390866	0.956459024588707	0.999658563836992	HPN-AS1
LINC01531	1.62891607166538	-2.60204701221675	3.38135770334295	-0.769527284748448	0.44158035344275	0.999658563836992	LINC01531
LINC02346	0	NA	NA	NA	NA	NA	LINC02346
OST4	157.467080357422	0.437462153926363	0.323836112167723	1.35087514174389	0.176735432380674	0.999658563836992	OST4
RBPMS-AS1	0.707150691622007	-0.0785899566520254	1.59238559792599	-0.0493535967383686	0.960637507503002	0.999658563836992	RBPMS-AS1
LOC100128770	0	NA	NA	NA	NA	NA	LOC100128770
LINC00476	0.101520594363917	0.982474520973914	3.44865606662119	0.284886199723735	0.775731329105818	0.999658563836992	LINC00476
LINC01349	0	NA	NA	NA	NA	NA	LINC01349
SRRM2-AS1	0	NA	NA	NA	NA	NA	SRRM2-AS1
GPR158-AS1	0	NA	NA	NA	NA	NA	GPR158-AS1
LINC01003	5.49542424187781	-0.166702724151473	0.815145003406804	-0.204506834311391	0.837957451844861	0.999658563836992	LINC01003
VPS9D1-AS1	1.4793642592919	0.259818701633266	1.10304609692218	0.235546549104554	0.813784554009	0.999658563836992	VPS9D1-AS1
LOC100128885	0	NA	NA	NA	NA	NA	LOC100128885
FAM66B	0	NA	NA	NA	NA	NA	FAM66B
GATA6-AS1	0.196630722163743	1.8479712210107	3.40127377980293	0.543317398318277	0.586911287257197	0.999658563836992	GATA6-AS1
ZBTB42	2.73630817909794	-0.0496695785385587	0.918521784460321	-0.0540755585538367	0.95687496519695	0.999658563836992	ZBTB42
LINC01310	0	NA	NA	NA	NA	NA	LINC01310
LOC100128993	0	NA	NA	NA	NA	NA	LOC100128993
LOC100129027	0.110166867122615	-0.391502943884338	3.44865606662119	-0.113523336720531	0.909615662646079	0.999658563836992	LOC100129027
LOC100129034	10.1301908434143	0.259678963349317	0.422353966819237	0.614837278089201	0.538662187966456	0.999658563836992	LOC100129034
BCAR3-AS1	0	NA	NA	NA	NA	NA	BCAR3-AS1
LOC100129055	0	NA	NA	NA	NA	NA	LOC100129055
UNQ6494	0	NA	NA	NA	NA	NA	UNQ6494
KTN1-AS1	0.377671033012712	-1.55485145956298	3.44103381547003	-0.451855908120622	0.651372790162138	0.999658563836992	KTN1-AS1
LOC100129083	0	NA	NA	NA	NA	NA	LOC100129083
KHDC1L	0	NA	NA	NA	NA	NA	KHDC1L
LOC100129138	0.0898467927824392	-0.391502943884337	3.44865606662119	-0.11352333672053	0.909615662646079	0.999658563836992	LOC100129138
LOC100129148	0	NA	NA	NA	NA	NA	LOC100129148
LOC100129175	0	NA	NA	NA	NA	NA	LOC100129175
ZSCAN16-AS1	3.88446622030577	-0.491761339566852	0.90011422180184	-0.546332151693425	0.584837639224375	0.999658563836992	ZSCAN16-AS1
MATN1-AS1	0.100812341234921	-0.391502943884337	3.44865606662119	-0.11352333672053	0.909615662646079	0.999658563836992	MATN1-AS1
SLC39A12-AS1	0	NA	NA	NA	NA	NA	SLC39A12-AS1
DEFB131B	0	NA	NA	NA	NA	NA	DEFB131B
SMIM27	0.21175409706159	-0.803695153832917	3.44865606662119	-0.233045899129145	0.815725764473039	0.999658563836992	SMIM27
LINC01160	0	NA	NA	NA	NA	NA	LINC01160
C1orf68	0	NA	NA	NA	NA	NA	C1orf68
LOC100129316	0	NA	NA	NA	NA	NA	LOC100129316
LINC02291	0	NA	NA	NA	NA	NA	LINC02291
NRADDP	0	NA	NA	NA	NA	NA	NRADDP
SMIM10L1	5.56928718146756	0.511170667797918	0.568332299071112	0.899422166632762	0.368427836521324	0.999658563836992	SMIM10L1
C9orf92	0	NA	NA	NA	NA	NA	C9orf92
GABPB1-AS1	0.29193052537876	0.158091606240297	3.09282686522468	0.0511155693898864	0.959233429631949	0.999658563836992	GABPB1-AS1
FAM106C	0	NA	NA	NA	NA	NA	FAM106C
MSTO2P	0.485595578424294	0.63794854498686	2.30843867598114	0.276354989034186	0.782275424517134	0.999658563836992	MSTO2P
RPL19P12	0	NA	NA	NA	NA	NA	RPL19P12
DDC-AS1	0	NA	NA	NA	NA	NA	DDC-AS1
DPY19L1P1	1.87565400870336	0.137896429503897	0.91562648644081	0.150603364522495	0.880288607162947	0.999658563836992	DPY19L1P1
LINC01546	0	NA	NA	NA	NA	NA	LINC01546
MKRN2OS	0.393261444327487	2.84581389660515	3.32234736565112	0.85656723496985	0.391684100042686	0.999658563836992	MKRN2OS
ZNF37BP	1.03884927324468	-0.115747072741477	1.68546304735017	-0.0686737528440336	0.945249311062795	0.999658563836992	ZNF37BP
SOD2-OT1	0	NA	NA	NA	NA	NA	SOD2-OT1
TEX13C	0.201624682469843	-0.803695153832917	3.44865606662119	-0.233045899129145	0.815725764473039	0.999658563836992	TEX13C
LOC100129534	0.100812341234921	-0.391502943884337	3.44865606662119	-0.11352333672053	0.909615662646079	0.999658563836992	LOC100129534
ZNF730	0.092027934357912	-0.391502943884337	3.44865606662119	-0.11352333672053	0.909615662646079	0.999658563836992	ZNF730
LINC02035	1.10107336862011	-0.933798855987472	1.47860586118068	-0.631540074676714	0.527687454863087	0.999658563836992	LINC02035
FAM47E	0	NA	NA	NA	NA	NA	FAM47E
LINC00462	1.22442671240725	0.738480941922744	2.27034020457275	0.32527325219161	0.744974272781884	0.999658563836992	LINC00462
LOC100129617	0	NA	NA	NA	NA	NA	LOC100129617
LOC100129620	0	NA	NA	NA	NA	NA	LOC100129620
LOC100129636	0	NA	NA	NA	NA	NA	LOC100129636
TCF24	0	NA	NA	NA	NA	NA	TCF24
FGF13-AS1	0	NA	NA	NA	NA	NA	FGF13-AS1
ARRDC3-AS1	0	NA	NA	NA	NA	NA	ARRDC3-AS1
STPG3-AS1	0	NA	NA	NA	NA	NA	STPG3-AS1
LINC01126	0	NA	NA	NA	NA	NA	LINC01126
CCDC152	0	NA	NA	NA	NA	NA	CCDC152
SLC25A21-AS1	0.0898467927824392	-0.391502943884337	3.44865606662119	-0.11352333672053	0.909615662646079	0.999658563836992	SLC25A21-AS1
MRVI1-AS1	0	NA	NA	NA	NA	NA	MRVI1-AS1
ZNF737	0.381002429457144	-0.254101426730105	2.39484988954162	-0.106103279307724	0.915500409323895	0.999658563836992	ZNF737
PCOLCE-AS1	0	NA	NA	NA	NA	NA	PCOLCE-AS1
SCOC-AS1	0.101587229938976	-0.391502943884337	3.44865606662119	-0.11352333672053	0.909615662646079	0.999658563836992	SCOC-AS1
LOC100129917	0.282687068375272	-1.21588922503826	3.11547786540441	-0.390273748544329	0.696334132905164	0.999658563836992	LOC100129917
TMEM269	0	NA	NA	NA	NA	NA	TMEM269
LOC100129931	0	NA	NA	NA	NA	NA	LOC100129931
CCNT2-AS1	0.0898467927824392	-0.391502943884337	3.44865606662119	-0.11352333672053	0.909615662646079	0.999658563836992	CCNT2-AS1
CERNA1	0	NA	NA	NA	NA	NA	CERNA1
HDAC6	5.0761874440394	-0.0188095263686737	0.59023106290253	-0.0318680726090146	0.974577260068039	0.999658563836992	HDAC6
100130000	0	NA	NA	NA	NA	NA	100130000
URAHP	0	NA	NA	NA	NA	NA	URAHP
LOC100130075	0	NA	NA	NA	NA	NA	LOC100130075
HSFX2	0	NA	NA	NA	NA	NA	HSFX2
100130093	0	NA	NA	NA	NA	NA	100130093
100130100	0.098623717211989	-0.391502943884338	3.44865606662119	-0.113523336720531	0.909615662646079	0.999658563836992	100130100
MAPT-IT1	0	NA	NA	NA	NA	NA	MAPT-IT1
MIR124-2HG	0	NA	NA	NA	NA	NA	MIR124-2HG
EFCAB14-AS1	0	NA	NA	NA	NA	NA	EFCAB14-AS1
LINC00861	0.203041188727835	1.88818500764624	3.39697580477756	0.555842936823592	0.578318230314532	0.999658563836992	LINC00861
LOC100130238	0	NA	NA	NA	NA	NA	LOC100130238
LOC100130264	0	NA	NA	NA	NA	NA	LOC100130264
CCDC166	0	NA	NA	NA	NA	NA	CCDC166
TFAP2A-AS1	1.45447441746658	-0.176280675785537	1.33671032956534	-0.131876497014023	0.895081978909009	0.999658563836992	TFAP2A-AS1
LOC100130298	0.521998640185053	0.650985642324227	2.84732409346046	0.22863067952797	0.819155977249063	0.999658563836992	LOC100130298
C8orf89	0.101587229938976	-0.391502943884337	3.44865606662119	-0.11352333672053	0.909615662646079	0.999658563836992	C8orf89
SUPT20HL1	0	NA	NA	NA	NA	NA	SUPT20HL1
C17orf107	0	NA	NA	NA	NA	NA	C17orf107
LOC100130331	0	NA	NA	NA	NA	NA	LOC100130331
SCGB2B3P	0	NA	NA	NA	NA	NA	SCGB2B3P
TMEM262	0	NA	NA	NA	NA	NA	TMEM262
LOC100130357	0.399980267021696	2.04764298805383	2.81612397154283	0.727113937008963	0.467156161715792	0.999658563836992	LOC100130357
LOC100130370	19.3693681188607	-0.570990432841259	1.12008759330516	-0.509773017980117	0.610210490914469	0.999658563836992	LOC100130370
LINC00552	0	NA	NA	NA	NA	NA	LINC00552
LINC02593	0	NA	NA	NA	NA	NA	LINC02593
CECR7	3.32550794224709	-1.25826332415598	1.33221288010755	-0.944491186764685	0.344918703422668	0.999658563836992	CECR7
LOC100130449	0	NA	NA	NA	NA	NA	LOC100130449
SPAG16-DT	0	NA	NA	NA	NA	NA	SPAG16-DT
LOC100130452	0	NA	NA	NA	NA	NA	LOC100130452
WAKMAR2	0	NA	NA	NA	NA	NA	WAKMAR2
LINC01387	0	NA	NA	NA	NA	NA	LINC01387
TMEM221	0	NA	NA	NA	NA	NA	TMEM221
PARD6G-AS1	0	NA	NA	NA	NA	NA	PARD6G-AS1
C10orf142	0	NA	NA	NA	NA	NA	C10orf142
NFYC-AS1	0	NA	NA	NA	NA	NA	NFYC-AS1
LINC00910	0	NA	NA	NA	NA	NA	LINC00910
PRR32	0	NA	NA	NA	NA	NA	PRR32
LOC100130673	0	NA	NA	NA	NA	NA	LOC100130673
LOC100130691	0	NA	NA	NA	NA	NA	LOC100130691
TP53TG3HP	1.01520594363918	4.21120905882909	3.27296603138851	1.28666445616685	0.198211266931663	0.999658563836992	TP53TG3HP
ATP6V1FNB	0	NA	NA	NA	NA	NA	ATP6V1FNB
HDHD5-AS1	0	NA	NA	NA	NA	NA	HDHD5-AS1
LRRC70	0	NA	NA	NA	NA	NA	LRRC70
LRRC69	0.092027934357912	-0.391502943884337	3.44865606662119	-0.11352333672053	0.909615662646079	0.999658563836992	LRRC69
LOC100130744	1.0960461149284	-0.172902613747434	1.34272323543345	-0.128770106291948	0.897539560278959	0.999658563836992	LOC100130744
EFCAB10	0	NA	NA	NA	NA	NA	EFCAB10
AGAP2-AS1	0.306692159631537	0.158091742598595	3.05854656510409	0.0516885191163388	0.958776885429636	0.999658563836992	AGAP2-AS1
SBK3	0	NA	NA	NA	NA	NA	SBK3
LOC100130849	0	NA	NA	NA	NA	NA	LOC100130849
USP3-AS1	0	NA	NA	NA	NA	NA	USP3-AS1
LOC100130872	0.204988405368856	0.570282311025334	3.44865606662119	0.16536363731512	0.868657772828279	0.999658563836992	LOC100130872
CREB3L2-AS1	0	NA	NA	NA	NA	NA	CREB3L2-AS1
PSORS1C3	0	NA	NA	NA	NA	NA	PSORS1C3
TSTD3	0.398603569665743	-0.254101416912634	2.37627442655056	-0.106932690127669	0.914842378897013	0.999658563836992	TSTD3
VAC14-AS1	0	NA	NA	NA	NA	NA	VAC14-AS1
100130899	0	NA	NA	NA	NA	NA	100130899
SMIM6	0.786522888654974	3.84460939177069	3.28208414359444	1.17139269548409	0.241440967010967	0.999658563836992	SMIM6
ZNF663P	0	NA	NA	NA	NA	NA	ZNF663P
CSAG4	0.400871680049456	2.05130595423804	2.19143805086886	0.936054730556834	0.349245009271306	0.999658563836992	CSAG4
LOC100130950	0	NA	NA	NA	NA	NA	LOC100130950
LINC01502	0	NA	NA	NA	NA	NA	LINC01502
SYCE1L	0.893851313447874	0.245614440862788	1.63807713456656	0.149940705281732	0.880811396549106	0.999658563836992	SYCE1L
LOC100130964	0	NA	NA	NA	NA	NA	LOC100130964
C6orf99	0	NA	NA	NA	NA	NA	C6orf99
LOC100130987	0.383657899227161	-0.254101425206661	2.39197686331672	-0.106230720331602	0.915399297544604	0.999658563836992	LOC100130987
SPATA48	0	NA	NA	NA	NA	NA	SPATA48
LOC100130992	0	NA	NA	NA	NA	NA	LOC100130992
DNAH8-AS1	0	NA	NA	NA	NA	NA	DNAH8-AS1
LINC01135	0	NA	NA	NA	NA	NA	LINC01135
CKMT2-AS1	2.30222852927827	0.0535194958556987	0.932960430348259	0.0573652366325127	0.954254254529663	0.999658563836992	CKMT2-AS1
SRP14-AS1	0.703061527759661	-0.093561718972505	1.72468387612345	-0.0542486192790311	0.956737085102624	0.999658563836992	SRP14-AS1
DPP9-AS1	0	NA	NA	NA	NA	NA	DPP9-AS1
TMC6	3.57710038045494	0.600223644406888	0.895697997273153	0.670118328090715	0.502782362066728	0.999658563836992	TMC6
ZBTB20-AS1	0	NA	NA	NA	NA	NA	ZBTB20-AS1
BSPH1	0	NA	NA	NA	NA	NA	BSPH1
LINC01405	0	NA	NA	NA	NA	NA	LINC01405
WDR86-AS1	0.191367387146357	0.570282311025334	3.44865606662119	0.16536363731512	0.868657772828279	0.999658563836992	WDR86-AS1
TSTD1	9.31192254190741	-0.650164076366234	1.35500285248014	-0.479824876513139	0.631351922457831	0.999658563836992	TSTD1
CCDC183-AS1	0.100812341234921	-0.391502943884337	3.44865606662119	-0.11352333672053	0.909615662646079	0.999658563836992	CCDC183-AS1
SNAP25-AS1	0	NA	NA	NA	NA	NA	SNAP25-AS1
NEMP2	3.13659680224975	0.134419495200032	0.87530673425181	0.153568446282926	0.877950017977243	0.999658563836992	NEMP2
ZNF503-AS2	0.470267746820867	0.637374658972506	2.95589569542755	0.2156282645421	0.829277522124102	0.999658563836992	ZNF503-AS2
MIR181A1HG	0	NA	NA	NA	NA	NA	MIR181A1HG
ANKRD63	0	NA	NA	NA	NA	NA	ANKRD63
LOC100131257	0	NA	NA	NA	NA	NA	LOC100131257
LOC100131289	0.30153970970847	1.46172331797402	3.02242057689259	0.483626709382997	0.628650815699023	0.999658563836992	LOC100131289
RAB6C-AS1	0	NA	NA	NA	NA	NA	RAB6C-AS1
RDM1P5	0	NA	NA	NA	NA	NA	RDM1P5
LINC00605	0	NA	NA	NA	NA	NA	LINC00605
C11orf91	1.11402679663722	0.968226496149897	2.76633219735211	0.35000369698067	0.726335923137939	0.999658563836992	C11orf91
SP9	0	NA	NA	NA	NA	NA	SP9
LINC00893	0	NA	NA	NA	NA	NA	LINC00893
CD300LD	0	NA	NA	NA	NA	NA	CD300LD
DBIL5P	0	NA	NA	NA	NA	NA	DBIL5P
LOC100131496	0	NA	NA	NA	NA	NA	LOC100131496
LINC00887	0	NA	NA	NA	NA	NA	LINC00887
FKSG29	0	NA	NA	NA	NA	NA	FKSG29
CCDC18-AS1	0.965421039347299	-0.732757320258211	1.50716549384108	-0.486182388896621	0.626837856601135	0.999658563836992	CCDC18-AS1
LOC100131626	0	NA	NA	NA	NA	NA	LOC100131626
LOC100131635	0	NA	NA	NA	NA	NA	LOC100131635
ZNF236-DT	0.501745201419936	-0.657210801429118	2.02045721383264	-0.325278257282393	0.744970485070273	0.999658563836992	ZNF236-DT
MZF1-AS1	0	NA	NA	NA	NA	NA	MZF1-AS1
FAM83A-AS1	0	NA	NA	NA	NA	NA	FAM83A-AS1
USP30-AS1	1.43727817810098	1.60755762489405	1.53684589325767	1.04601094484918	0.295555979229698	0.999658563836992	USP30-AS1
ARMCX4	0.695576226529897	0.837539487042911	1.636391164748	0.511821076210644	0.608776238359106	0.999658563836992	ARMCX4
PET100	59.5247128919575	0.215890979283669	0.372206244083573	0.580030514574587	0.561894040174139	0.999658563836992	PET100
LINC00271	0	NA	NA	NA	NA	NA	LINC00271
CADM3-AS1	0	NA	NA	NA	NA	NA	CADM3-AS1
ZNF717	0	NA	NA	NA	NA	NA	ZNF717
INSYN2B	0.310403433014814	-1.2158873637815	3.44865606662119	-0.35256846153776	0.724411985120695	0.999658563836992	INSYN2B
RRN3P3	0.883455884006076	0.259054680218599	1.45094245231989	0.178542353491967	0.85829706222179	0.999658563836992	RRN3P3
LOC100132062	0	NA	NA	NA	NA	NA	LOC100132062
LOC100132077	0	NA	NA	NA	NA	NA	LOC100132077
LOC100132078	0	NA	NA	NA	NA	NA	LOC100132078
